證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
4137,64000,77,11520200,182.5,182.5,179.0,180.0,0.0,179.5,9,180.0,1,10.62
4142,3336958,2135,124554039,38.15,38.3,37.0,37.05,1.1,37.05,29,37.1,16,264.64
4148,750624,584,43827917,58.3,59.4,57.3,57.7,0.7,57.7,1,57.8,2,15.43
4155,184923,162,4194763,22.65,22.8,22.6,22.65,0.1,22.6,28,22.65,1,34.32
4164,355572,312,12665296,36.0,36.8,35.2,35.3,0.75,35.25,7,35.4,2,15.22
4190,32510,31,2231049,69.2,69.3,68.2,68.2,1.1,68.1,1,68.2,5,18.04
4306,351672,189,4894283,13.9,14.0,13.85,13.95,0.0,13.9,17,13.95,34,41.03
4414,9321717,1587,24719913,2.65,2.79,2.64,2.64,0.29,,0,2.64,845,0.0
4426,1871433,1249,54142902,29.35,29.75,28.25,28.6,0.6,28.6,32,28.65,24,0.0
4438,35300,37,3866648,112.5,112.5,109.0,109.5,2.0,109.0,3,109.5,1,15.1
4439,16000,16,1767500,111.0,111.0,110.0,111.0,0.0,110.5,2,111.0,1,10.11
4440,85945,66,2834424,33.0,33.1,32.65,32.75,0.4,32.7,1,32.75,1,7.28
4526,108808,153,1484496,13.75,13.75,13.6,13.6,0.15,13.6,22,13.65,1,13.74
4532,127331,88,2138337,16.85,16.95,16.75,16.75,0.1,16.75,14,16.8,6,15.23
4536,95760,90,13599185,143.5,145.0,141.0,141.5,2.0,141.0,12,141.5,1,14.44
4540,38000,32,1661700,44.0,44.0,43.5,43.7,0.3,43.65,1,43.7,3,12.63
4545,48029,34,1330003,27.5,27.75,27.5,27.65,0.25,27.65,6,27.7,1,17.72
4551,780193,577,127171859,164.5,167.5,159.0,160.5,4.0,160.5,6,161.0,3,15.58
4552,38160,30,1095009,28.7,28.95,28.55,28.95,0.15,28.9,1,28.95,3,8.83
4555,33032,27,1876384,57.1,58.1,56.2,56.5,0.6,56.5,1,56.8,2,15.78
4557,591006,500,50378337,83.0,87.0,82.2,86.0,3.8,85.9,10,86.0,1,15.9
4560,24000,24,959600,40.3,40.3,39.9,40.0,0.3,40.0,6,40.1,4,11.76
4562,82155,55,1268230,15.55,15.6,15.35,15.35,0.2,15.35,1,15.4,1,0.0
4564,162251,112,4358785,27.6,27.65,26.7,26.75,0.35,26.75,9,26.85,1,15.83
4566,2622104,1851,141257748,53.9,55.5,52.1,52.3,0.5,52.2,4,52.3,2,15.9
4571,17001,13,1304976,77.0,77.0,76.1,76.7,0.1,76.0,2,76.7,3,11.75
4572,421617,346,52278414,123.5,126.0,122.5,122.5,3.0,122.5,4,123.0,1,51.47
4576,18000,17,1575200,87.3,87.9,87.3,87.4,0.3,87.1,2,87.4,1,29.23
4581,1000,1,32950,32.95,32.95,32.95,32.95,0.95,31.25,1,33.15,4,14.52
4583,8105,13,1686787,210.0,210.0,207.0,207.0,1.0,207.0,1,208.0,3,15.86
4720,86000,40,1164400,13.65,13.7,13.5,13.55,0.1,13.5,5,13.55,6,41.06
4722,72150,47,2571154,35.8,35.9,35.5,35.9,0.2,35.85,2,35.9,1,9.11
4737,39011,40,2881432,73.2,74.4,73.2,74.0,0.0,74.0,1,74.2,1,50.34
4739,2939014,2319,354867987,120.5,123.5,118.0,119.5,0.5,119.0,61,119.5,29,22.98
4746,335916,249,15363895,45.85,46.2,45.3,45.35,0.5,45.3,1,45.35,12,0.0
4755,1044374,919,149138259,143.0,145.5,140.0,141.0,3.0,140.5,22,141.0,5,15.79
4763,231642,138,24587182,107.5,107.5,105.0,106.5,0.0,106.0,4,106.5,1,9.13
4764,1000,1,55200,55.2,55.2,55.2,55.2,0.3,54.1,2,54.5,7,41.19
4766,139744,152,19025823,138.0,138.0,134.5,135.5,2.0,135.0,3,135.5,4,12.36
4770,98165,97,24541385,249.0,252.0,247.0,250.0,1.0,250.0,1,250.5,3,17.31
4807,12000,12,261650,21.85,21.85,21.75,21.85,0.1,21.75,5,21.9,2,7.67
4904,5514671,1912,415982180,75.2,76.2,75.1,75.4,0.2,75.3,6,75.4,66,25.47
4906,2801843,1534,81926210,29.15,29.7,29.0,29.3,0.35,29.25,3,29.3,17,19.28
4912,201759,171,22316642,110.0,113.5,109.0,109.0,3.5,109.0,7,109.5,2,16.01
4915,6072935,3987,418188801,69.5,69.9,68.2,68.6,1.5,68.6,54,68.7,13,13.32
4916,170413,142,3987598,23.15,23.65,23.15,23.55,0.4,23.45,3,23.6,3,21.03
4919,6583492,4677,714210249,109.5,110.0,107.5,108.0,1.0,107.5,287,108.0,78,11.7
4927,959640,744,54466702,57.5,58.2,56.1,56.6,1.1,56.6,3,56.7,8,6.57
4930,96938,106,2265389,23.5,23.6,23.25,23.4,0.05,23.35,3,23.4,6,4.62
4934,1595267,1014,42047374,26.9,27.0,26.0,26.05,0.95,26.05,11,26.15,4,0.0
4935,34720,46,1911676,55.0,55.4,54.9,55.1,0.0,55.0,1,55.2,1,5.92
4938,4777200,3063,300766147,62.5,63.2,62.4,63.1,0.1,63.1,4,63.2,86,9.6
4942,150230,120,5771745,38.4,38.7,38.35,38.35,0.5,38.35,1,38.4,4,6.46
4943,294710,204,4794808,16.6,16.7,16.05,16.05,0.25,16.05,1,16.1,12,0.0
4952,807817,585,49091750,60.2,61.4,60.2,60.4,0.2,60.4,14,60.5,8,7.97
4956,137062,111,2284717,16.75,17.0,16.45,16.5,0.2,16.5,6,16.6,2,13.31
4958,4167773,2300,467623001,111.0,113.0,110.5,113.0,2.0,112.5,113,113.0,218,10.1
4960,1354835,479,12513838,9.2,9.34,9.19,9.2,0.05,9.2,18,9.21,24,9.79
4961,4401661,3004,587052202,135.5,138.0,130.5,130.5,5.5,130.5,188,131.0,8,4.36
4967,255444,157,6975992,27.55,27.6,27.2,27.25,0.3,27.25,3,27.3,8,0.0
4968,1202280,968,161726010,134.0,137.5,132.0,134.5,0.0,134.0,12,134.5,9,0.0
4976,2027945,1450,83550144,41.05,42.5,40.35,40.5,0.4,40.5,51,40.75,24,0.0
4977,88050,50,6889890,79.1,79.1,77.1,77.1,2.0,77.1,9,77.6,1,20.24
4989,305373,252,8006016,26.25,26.7,26.0,26.0,0.95,26.0,9,26.05,1,5.8
4994,65459,68,2608842,40.1,40.45,39.2,39.6,0.5,39.4,1,39.6,2,22.76
4999,44316,48,1567260,35.25,35.7,34.95,35.7,1.0,35.4,1,35.75,5,14.51
5007,44053,30,2401779,54.3,54.8,54.2,54.2,0.0,54.2,4,54.3,23,15.94
5203,20000,18,1785400,89.4,89.9,89.0,89.1,0.3,89.0,1,89.1,2,0.0
5215,78944,81,3404497,43.8,44.05,42.75,42.75,1.15,42.7,2,42.75,3,6.61
5222,1963321,1720,272475267,138.5,143.0,135.5,136.5,2.5,136.5,25,137.0,14,39.0
5225,40978,30,853891,20.8,21.2,20.55,20.65,0.15,20.55,2,20.65,1,2.45
5234,422639,308,28424556,67.6,68.1,66.7,67.2,0.4,67.2,4,67.3,3,10.12
5243,2184460,1468,147508331,67.7,68.4,66.6,67.5,0.4,67.5,4,67.6,9,23.77
5244,37053,27,1022418,27.65,28.0,27.35,27.45,0.05,27.35,2,27.5,3,6.13
5258,6704275,4213,415132405,63.3,63.9,60.1,60.5,2.7,60.5,63,60.6,22,15.12
5269,339616,524,328369343,980.0,984.0,958.0,963.0,8.0,962.0,1,963.0,1,20.03
5283,32308,66,3349489,104.5,104.5,103.0,103.5,1.5,103.0,16,103.5,1,9.86
5284,160725,94,7433450,46.15,47.0,45.65,46.9,0.8,46.65,2,46.9,1,16.34
5285,194197,187,15459220,79.8,80.7,79.0,79.0,1.2,79.0,27,79.3,3,17.14
5288,83015,81,12299222,150.0,150.0,147.0,147.5,2.5,147.5,4,148.0,1,15.49
5306,310789,549,47007030,153.5,153.5,150.0,150.5,4.0,150.5,28,151.0,3,9.47
5388,2845640,2455,246095681,85.6,87.4,85.6,86.3,0.5,86.3,15,86.4,1,20.8
5434,258519,362,39856381,155.0,155.5,153.0,154.0,2.0,154.0,4,154.5,3,10.04
5469,789421,539,24970588,31.75,32.3,31.5,31.6,0.3,31.6,8,31.65,3,4.61
5471,392929,407,22334783,57.3,57.6,56.5,56.6,0.7,56.5,16,56.6,6,6.75
5484,200196,151,2756247,13.7,14.25,13.05,13.15,0.65,13.15,1,13.2,1,0.0
5515,119449,79,1477311,12.45,12.45,12.3,12.35,0.15,12.3,20,12.35,95,10.12
5519,398155,247,8937453,22.55,22.55,22.35,22.4,0.2,22.35,37,22.4,13,8.09
5521,416285,459,2862539,6.9,6.92,6.84,6.84,0.06,6.84,5,6.85,3,0.0
5522,325650,221,20547458,62.7,63.5,62.7,63.3,0.6,63.2,4,63.3,9,7.29
5525,45000,32,1050750,23.2,23.55,23.15,23.55,0.1,23.5,1,23.6,2,20.84
5531,389516,166,3549643,9.17,9.19,9.06,9.12,0.05,9.12,6,9.13,5,0.0
5533,463767,272,8292863,17.55,18.15,17.55,17.85,0.3,17.8,6,17.85,6,3.26
5534,187091,152,13501826,72.0,72.4,71.9,72.2,0.5,72.1,4,72.2,3,9.05
5538,10564,11,459560,43.2,44.05,43.0,43.7,0.0,43.3,1,43.7,12,5.72
5546,5000,5,267900,54.0,54.0,53.0,53.8,0.0,53.7,2,53.8,6,16.6
5607,279982,241,13444024,48.75,48.75,47.7,47.8,0.75,47.75,15,47.8,4,17.45
5608,3155599,2062,95398852,30.0,31.0,29.95,30.05,0.65,30.0,73,30.05,5,4.01
5706,1523609,1120,91191285,61.2,61.6,59.1,59.5,1.9,59.4,5,59.5,4,165.28
5871,6042491,5881,1236935502,211.0,211.0,203.0,203.5,9.5,203.5,13,204.0,97,13.66
5871A,150767,72,14991639,99.6,99.6,99.3,99.4,0.2,99.3,58,99.5,14,0.0
5876,3746759,1658,187512789,49.95,50.3,49.3,50.1,0.2,49.9,57,50.1,99,15.8
5880,10062274,3700,274070199,27.2,27.35,27.1,27.35,0.1,27.3,5,27.35,300,18.36
5906,31014,30,979036,33.55,33.55,30.9,31.4,1.2,30.9,1,31.5,4,9.81
5907,96000,56,1419750,14.7,15.0,14.65,14.8,0.1,14.8,2,14.85,1,0.0
6005,1661251,834,18562703,11.25,11.3,11.1,11.15,0.1,11.15,33,11.2,125,5.72
6024,49907,95,1748906,35.2,35.2,34.95,35.1,0.1,35.05,2,35.1,15,15.19
6108,42013,41,721729,17.25,17.25,17.1,17.15,0.1,17.1,10,17.2,1,11.75
6112,44979,49,1531603,34.15,34.15,33.9,34.0,0.15,34.0,1,34.05,1,14.29
6115,71142,74,2908526,40.8,41.0,40.75,40.9,0.1,40.85,7,40.9,3,15.04
6116,39375716,10232,404321485,10.2,10.6,10.05,10.1,0.39,10.1,34,10.15,447,14.23
6117,22878,83,347557,15.15,15.5,15.0,15.15,0.1,15.15,1,15.2,3,0.0
6120,1025428,541,10290659,10.05,10.25,9.93,9.96,0.14,9.96,24,9.97,10,0.0
6128,66113,48,1953688,29.7,29.85,29.15,29.3,0.7,29.25,1,29.3,1,9.48
6133,3783405,2130,90759021,23.85,24.3,23.5,24.25,0.4,24.25,117,24.3,813,0.0
6136,45149,41,784541,17.4,17.45,17.35,17.35,0.05,17.35,4,17.4,5,13.77
6139,282201,184,8647110,30.55,30.9,30.45,30.45,0.4,30.45,4,30.5,3,12.9
6141,5301,10,121667,22.95,22.95,22.95,22.95,0.0,22.75,2,22.85,1,9.41
6142,238142,108,2070465,8.8,8.84,8.55,8.69,0.09,8.62,1,8.69,7,4.43
6152,719729,266,7666969,10.75,10.8,10.45,10.7,0.05,10.7,6,10.75,9,44.58
6153,550323,358,12166995,22.1,22.45,21.95,21.95,0.2,21.95,34,22.0,2,0.0
6155,85013,77,1802732,21.5,21.5,21.0,21.2,0.3,21.15,2,21.25,1,14.83
6164,1328524,684,15313521,11.15,11.95,11.15,11.3,0.15,11.3,11,11.35,2,282.5
6165,196899,151,5721886,29.05,29.65,28.45,28.55,0.6,28.5,15,28.6,3,12.1
6166,1026734,860,62298312,61.1,62.6,58.4,58.7,0.3,58.7,1,58.8,2,76.23
6168,342250,230,6515381,19.15,19.25,18.9,18.95,0.2,18.9,40,19.0,17,10.24
6176,1294256,1198,120360185,92.1,93.4,92.1,93.4,0.8,93.3,1,93.4,52,6.98
6177,211532,137,5745112,27.2,27.2,27.1,27.15,0.05,27.1,128,27.15,1,4.68
6183,51823,70,3095399,60.0,60.0,59.6,59.7,0.3,59.7,1,59.9,1,18.89
6184,24153,28,1169250,48.7,48.7,48.1,48.6,0.1,48.35,2,48.45,2,12.49
6189,239463,215,9141302,38.2,38.3,38.1,38.15,0.25,38.1,47,38.15,7,8.61
6191,726761,550,20987441,29.0,29.15,28.7,28.7,0.3,28.7,24,28.75,2,4.69
6192,71832,80,4875568,68.1,68.5,67.6,67.8,0.6,67.7,1,67.9,1,8.16
6196,233806,203,25270950,108.0,109.0,107.0,108.5,0.0,108.0,16,108.5,8,12.39
6197,323439,192,11498063,36.4,36.4,35.1,35.7,0.5,35.7,2,35.75,2,12.23
6201,104577,87,4397015,41.85,42.5,41.85,42.2,0.35,42.15,9,42.25,3,11.82
6202,1022648,906,80402165,79.0,79.6,78.1,78.5,0.5,78.5,3,78.6,1,8.65
6205,956759,688,66830439,68.9,71.8,68.4,68.6,1.4,68.6,1,68.9,2,22.27
6206,3207398,2990,288498070,90.5,92.0,88.1,88.8,0.3,88.8,2,88.9,2,11.79
6209,716287,466,20816905,29.35,29.65,28.65,28.65,0.0,28.65,78,28.7,1,0.0
6213,4235559,3274,281112950,68.3,68.5,64.9,64.9,4.7,64.9,9,65.0,33,8.61
6214,67826,115,4912117,72.7,72.7,72.0,72.7,0.0,72.5,2,72.7,1,17.6
6215,109104,88,2400735,22.05,22.15,21.85,22.1,0.05,22.05,2,22.1,1,8.6
6216,713830,393,21821182,30.5,31.0,30.05,30.5,0.0,30.5,7,30.55,24,14.39
6224,248021,244,15959829,65.1,65.4,63.5,63.9,1.5,63.8,5,64.0,2,12.19
6225,65105,29,627712,10.5,10.5,8.83,9.0,0.7,8.83,1,9.86,2,0.0
6226,1139387,612,15083603,13.25,13.55,13.05,13.1,0.2,13.1,21,13.15,10,262.0
6230,12150,13,1280750,105.5,107.0,104.0,104.5,1.5,104.0,3,105.0,1,57.73
6235,6807864,4144,258757498,38.45,39.05,37.5,37.55,1.0,37.55,53,37.6,49,28.45
6239,1798048,1627,152421737,84.7,85.1,83.8,84.9,0.2,84.8,12,84.9,10,6.78
6243,127422,127,3839547,30.2,30.5,29.5,29.9,0.35,29.9,8,30.05,5,17.8
6251,1709794,1071,33899043,20.05,20.1,19.6,19.85,0.1,19.8,6,19.85,7,8.9
6257,3884700,2806,191500428,50.0,50.0,49.0,49.1,0.9,49.1,24,49.15,6,6.64
6269,2424841,2923,225768208,92.5,93.8,92.2,93.3,0.4,93.1,1,93.3,4,9.82
6271,1317178,2848,251504261,192.0,193.5,189.0,190.0,3.5,190.0,31,190.5,7,10.63
6277,21139,38,1585916,75.0,75.0,74.8,75.0,0.4,74.8,18,75.0,1,14.88
6278,1442138,942,121699539,85.0,85.4,83.7,83.9,1.1,83.9,3,84.0,2,5.41
6281,98783,99,7982252,80.9,82.0,80.7,81.1,0.2,80.7,1,81.4,5,13.06
6282,5666025,3367,174375707,31.3,31.45,30.25,30.5,0.85,30.5,24,30.55,9,22.43
6283,106020,83,3174550,30.1,30.25,29.75,29.75,0.35,29.75,29,29.9,1,0.0
6285,1445136,1659,105974817,74.0,74.2,72.8,72.9,1.0,72.9,16,73.0,31,22.92
6288,347090,260,7813184,22.55,22.75,22.3,22.5,0.1,22.45,2,22.5,2,0.0
6289,11012,15,29147,2.69,2.69,2.59,2.6,0.1,2.6,4,2.69,3,0.0
6405,29000,23,585800,20.45,20.45,20.0,20.15,0.25,20.15,1,20.2,1,17.37
6409,167605,157,236844805,1445.0,1455.0,1400.0,1430.0,0.0,1420.0,2,1430.0,2,51.18
6412,88364,81,6377996,73.0,73.0,71.6,72.1,0.2,71.9,1,72.1,1,9.41
6414,978858,884,207678467,211.5,214.0,210.0,212.5,0.0,212.0,3,212.5,5,15.52
6415,1911568,1802,996392437,527.0,529.0,513.0,520.0,4.0,520.0,75,521.0,5,31.18
6416,76019,69,6613869,87.0,87.8,86.1,87.0,0.0,86.6,1,87.0,3,30.1
6426,84232,110,4724282,56.3,56.7,55.6,55.7,0.0,55.6,2,56.0,2,61.89
6431,9000,12,209800,23.3,23.4,23.2,23.35,0.45,23.2,2,23.35,6,0.0
6438,696054,558,60769989,88.0,89.8,85.8,86.0,2.5,85.9,18,86.0,1,8.93
6442,4176208,2987,240317349,59.3,60.0,55.6,56.8,2.5,56.7,7,56.8,17,22.9
6443,12660049,7243,409450169,33.35,33.45,31.65,32.0,1.1,31.9,40,32.0,116,200.0
6449,19010,27,755418,39.25,40.15,39.2,39.9,0.05,40.0,4,40.1,11,11.05
6451,78315,66,5391971,68.6,69.6,68.5,68.6,0.4,68.6,4,69.1,1,102.39
6456,714003,487,53651702,75.1,75.9,74.4,74.9,0.1,74.9,4,75.0,1,5.63
6464,5414,14,449878,83.5,83.5,82.8,82.8,0.6,82.8,1,83.4,1,10.11
6477,4328542,2980,224797112,53.6,53.9,50.7,50.9,2.4,50.9,26,51.0,38,41.72
6491,875830,1373,361113502,418.5,428.5,403.0,406.0,28.5,406.0,4,407.0,1,20.54
6504,40168,37,3263452,81.0,81.6,80.9,81.6,0.7,81.2,4,81.6,25,370.91
6505,1517344,1313,127523511,83.5,84.5,83.3,83.9,0.3,83.8,30,83.9,28,17.7
6515,236847,255,92352417,383.5,395.0,383.5,390.5,3.0,389.0,3,391.0,1,23.87
6525,257522,285,18624548,73.1,73.1,72.0,72.1,1.1,72.1,54,72.2,3,10.18
6531,4438225,3627,849169688,190.5,196.5,186.5,189.0,1.5,188.5,8,189.0,12,12.73
6533,951837,986,228599238,241.5,246.0,236.0,238.5,0.5,238.0,8,238.5,2,46.76
6541,8172255,6270,401994163,52.5,53.0,47.7,49.35,3.65,49.35,1,49.4,6,0.0
6550,5730856,4889,674525242,123.5,124.0,112.5,116.0,8.0,115.5,27,116.0,7,0.0
6552,45897,39,1805597,40.5,40.5,39.1,39.1,0.45,39.05,1,39.2,5,9.44
6558,57043,59,1211366,21.3,21.4,20.9,21.15,0.15,21.0,7,21.3,4,0.0
6573,45100,45,707900,16.0,16.0,15.55,15.65,0.05,15.6,1,15.7,18,0.0
6579,28000,22,2171800,77.1,77.9,77.1,77.4,0.3,77.3,1,77.9,5,21.15
6581,348133,275,31209640,89.5,91.0,88.3,89.2,1.2,89.1,10,89.2,4,11.22
6582,164354,204,12850011,76.9,79.3,76.1,78.4,1.5,78.2,2,78.4,4,3.24
6585,56096,53,3769628,67.2,67.5,67.0,67.0,0.6,67.0,13,67.4,4,14.73
6591,38014,36,1744704,46.35,46.35,45.55,45.95,0.15,45.8,2,46.0,5,5.53
6592,409804,370,41509188,102.0,102.5,100.5,101.5,1.0,101.5,1,102.0,33,16.21
6598,390960,277,10465312,27.3,27.5,26.5,26.65,0.55,26.6,16,26.65,3,0.0
6605,1246700,1439,90685029,74.2,75.1,71.5,71.9,2.6,71.8,17,71.9,9,9.04
6625,23100,23,662360,28.55,28.85,28.4,28.4,0.4,28.4,1,28.7,3,0.0
6641,18211,20,1059973,58.8,58.8,58.0,58.0,0.2,58.0,4,58.4,1,9.51
6655,31852,42,4163814,132.0,132.0,130.0,130.0,2.0,130.0,8,130.5,1,15.93
6666,28950,43,1608109,55.2,56.4,55.1,55.7,0.3,55.1,1,55.2,3,36.64
6668,581170,450,25089111,42.2,44.1,42.1,42.8,0.2,42.8,1,43.25,6,0.0
6669,2083070,2580,1511859714,742.0,772.0,695.0,699.0,40.0,699.0,10,700.0,95,11.59
6670,523546,405,97682042,183.0,189.5,183.0,189.5,5.5,189.0,4,189.5,9,9.58
6671,10005,11,404863,40.35,41.1,40.3,41.1,0.2,40.7,1,40.9,1,12.84
6672,134401,156,8435103,62.8,63.4,62.3,62.5,0.4,62.5,6,62.6,3,5.91
6674,26028,26,683782,26.6,26.6,26.0,26.35,0.35,26.05,1,26.4,4,47.91
6691,58761,83,9322077,160.0,160.5,156.0,158.5,1.0,157.5,1,159.0,11,9.46
6698,79270,77,2363178,30.35,30.35,29.45,29.5,0.85,29.5,3,29.6,1,155.26
6706,489754,614,54440402,112.5,113.0,110.0,110.5,2.0,110.0,36,110.5,3,6.72
6715,1193123,602,180307358,154.0,155.5,145.5,148.0,8.0,148.0,3,148.5,10,43.4
6719,3994247,4117,1152708625,300.0,300.5,279.0,286.0,13.5,286.0,4,286.5,7,14.7
6743,68968,60,2442070,34.95,35.8,34.9,35.5,0.0,35.45,4,35.5,1,0.0
6754,50000,38,2138250,42.95,42.95,42.6,42.8,0.2,42.7,2,42.8,2,11.2
6756,723812,1004,165939483,233.0,236.5,225.0,226.5,8.0,226.5,5,227.0,2,15.04
6768,130207,109,9060924,69.7,69.8,69.3,69.4,1.0,69.4,1,69.5,1,19.28
6770,27980681,10642,951634109,33.5,34.4,33.5,34.0,0.2,34.0,657,34.05,32,5.04
6776,38056,44,1481621,38.8,39.45,38.65,39.3,0.5,39.1,1,39.25,2,8.26
6781,744889,865,717143658,953.0,975.0,943.0,964.0,6.0,963.0,1,964.0,5,32.09
6789,714999,1010,225006178,314.0,322.0,310.0,312.0,3.5,312.0,2,313.0,3,42.28
6790,53179,46,2054115,38.6,38.75,38.55,38.6,0.0,38.6,11,38.7,2,11.22
6792,153079,155,13044042,86.9,87.0,84.0,84.0,3.5,83.7,2,84.3,2,12.84
6796,1332866,1252,180250582,139.0,142.5,131.5,134.0,7.5,134.0,5,134.5,5,60.36
6799,134001,113,16453628,123.5,126.0,121.0,121.5,1.0,121.5,1,123.0,1,16.18
6806,589182,634,45918631,78.7,79.1,77.4,77.8,0.9,77.8,9,77.9,2,48.32
6807,42000,34,1156700,27.3,28.45,27.2,28.15,0.45,27.4,2,27.8,2,5.98
8011,215027,282,3092011,14.7,14.7,14.15,14.3,0.2,14.25,5,14.3,1,0.0
8016,2460250,2154,388463443,161.0,162.0,155.5,159.0,2.0,158.5,39,159.0,10,2.87
8021,254204,222,7184745,28.5,28.8,28.0,28.0,0.6,28.0,7,28.1,2,8.72
8028,17638525,12514,1127189567,65.4,67.4,60.5,63.4,1.8,63.4,57,63.5,39,31.7
8033,407541,240,6766490,16.65,16.75,16.45,16.45,0.1,16.45,1,16.5,2,149.55
8039,293491,201,12059640,41.0,41.3,40.6,41.2,0.1,40.9,3,41.2,9,10.79
8046,6716004,6869,1580665979,235.5,238.0,232.5,234.0,4.0,234.0,10,234.5,202,11.74
8070,536881,339,17253139,32.7,32.7,31.95,32.15,0.25,32.05,2,32.15,20,10.65
8072,44966,231,997560,22.15,22.25,22.05,22.2,0.1,22.2,1,22.25,3,37.63
8081,246079,283,34117848,139.5,141.5,137.5,138.5,1.0,138.0,28,138.5,2,4.81
8101,318008,63,687426,2.16,2.17,2.15,2.17,0.01,2.17,7,2.2,6,6.2
8103,546546,288,19325555,35.05,35.6,34.8,35.5,0.45,35.45,7,35.5,24,7.92
8104,290015,230,11467457,40.0,40.15,39.2,39.2,0.45,39.2,5,39.25,1,30.39
8105,3202611,1062,36570829,11.4,11.6,11.3,11.45,0.15,11.4,6,11.45,88,11.57
8110,547903,306,6675983,12.2,12.35,12.15,12.15,0.1,12.15,16,12.2,13,25.31
8112,1823377,1332,67449738,37.05,37.35,36.6,36.95,0.35,36.9,3,36.95,93,5.36
8112A,19512,19,813460,41.65,41.7,41.65,41.7,0.05,41.65,1,41.7,6,0.0
8114,14910394,10470,2316732174,154.0,160.0,151.5,160.0,7.0,159.5,11,160.0,49,18.41
8131,94486,122,3496338,36.9,37.15,36.9,37.0,0.1,37.0,2,37.05,2,8.24
8150,1995836,1341,67658852,33.8,34.3,33.7,34.0,0.15,33.95,3,34.0,23,4.64
8163,429727,290,16786678,39.25,39.4,38.9,39.05,0.2,39.05,7,39.1,6,9.17
8201,486003,262,6163086,12.95,12.95,12.55,12.6,0.0,12.6,8,12.7,2,7.59
8210,101874,94,6992682,69.2,69.2,68.3,68.7,0.7,68.7,1,68.8,1,12.33
8213,986825,606,35867359,36.55,36.65,36.15,36.3,0.55,36.25,19,36.3,2,4.14
8215,1087770,704,32773541,30.2,30.4,29.9,30.1,0.25,30.1,9,30.15,4,8.8
8222,4216408,2717,99378696,24.0,24.45,22.8,23.5,0.15,23.45,10,23.55,1,0.0
8249,31168,44,644317,20.7,20.75,20.6,20.6,0.1,20.6,3,20.65,1,17.91
8261,6020578,4182,612261368,103.5,104.5,99.5,100.0,2.0,100.0,44,100.5,73,11.93
8271,259186,207,10314713,40.2,40.2,39.6,39.6,0.6,39.55,18,39.65,2,8.1
8341,167269,834,30205427,181.0,182.0,179.5,180.0,2.0,180.0,30,180.5,3,19.5
8367,41467,80,1413553,33.9,34.4,33.9,34.0,0.05,34.0,4,34.25,1,5.3
8374,119299,84,3717328,31.35,31.65,30.75,31.55,0.0,31.25,4,31.55,1,25.65
8404,327247,148,9186782,28.5,28.5,27.95,28.0,0.5,28.0,4,28.35,1,8.78
8411,145360,87,2339173,16.1,16.25,15.9,16.15,0.05,16.15,1,16.2,6,7.27
8422,228077,492,38877100,171.5,171.5,169.5,170.5,1.0,170.0,51,170.5,9,17.8
8429,151290,207,1415662,9.38,9.39,9.33,9.35,0.05,9.34,1,9.35,2,0.0
8438,22031,21,672811,30.85,31.15,30.15,31.15,0.3,30.4,1,31.2,3,11.2
8442,85000,62,5396400,64.0,64.8,63.0,63.5,0.1,63.3,1,63.7,2,20.62
8443,199616,174,2369905,11.9,12.1,11.7,11.8,0.15,11.75,3,11.8,11,0.0
8454,639267,1976,486123974,794.0,794.0,746.0,746.0,42.0,746.0,3,748.0,8,41.51
8462,34878,93,4224927,122.0,122.5,120.5,120.5,1.0,120.0,3,120.5,3,0.0
8463,48010,39,957301,19.95,20.2,19.8,19.95,0.15,19.95,10,20.0,1,0.0
8464,732787,688,200050218,274.0,279.5,270.0,272.0,11.5,272.0,12,272.5,10,13.33
8466,9000,8,389550,43.3,43.5,43.15,43.5,0.35,43.3,1,43.5,8,35.66
8467,409352,398,25087652,63.0,64.4,59.7,61.8,1.4,61.3,1,61.8,1,25.12
8473,11068,13,330735,29.85,30.0,29.85,30.0,0.1,29.95,1,30.0,1,31.91
8478,2035925,1732,382671350,189.5,193.5,185.0,186.5,2.0,186.5,17,187.0,2,13.31
8480,22001,19,1454367,66.1,66.4,66.0,66.0,1.3,65.7,1,66.0,5,11.09
8481,16000,12,954200,60.0,60.0,58.2,59.7,0.3,59.6,2,59.7,1,9.68
8482,2014,5,145624,72.0,72.6,72.0,72.6,0.3,72.2,2,72.5,1,8.42
8488,16000,15,253900,15.85,15.9,15.85,15.9,0.0,15.85,11,16.0,1,18.93
8499,26000,25,2926000,114.5,114.5,112.0,112.0,1.0,112.0,6,112.5,16,7.56
8926,259982,219,9749236,37.55,37.65,37.35,37.5,0.0,37.45,7,37.5,8,25.0
8940,72663,81,1055302,14.55,14.8,14.35,14.35,0.3,14.35,5,14.4,2,0.0
8996,6884248,4464,551653394,82.5,83.3,77.8,79.4,4.0,79.4,15,79.5,33,40.1
9103,366413,218,2721770,7.37,7.53,7.34,7.35,0.05,7.35,10,7.37,3,0.0
910322,22000,17,520900,23.9,24.3,23.4,23.85,0.5,23.7,1,24.2,2,0.0
9105,1702337,564,6049925,3.54,3.59,3.54,3.54,0.02,3.54,163,3.55,5,0.0
910861,44000,15,283260,6.43,6.47,6.4,6.42,0.06,6.41,2,6.47,2,0.0
