證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2731,569252,466,51285019,91.0,91.2,89.7,90.3,1.0,90.1,1,90.3,1,0.0
2739,13341,16,295501,22.15,22.25,22.1,22.1,0.1,22.1,2,22.25,4,0.0
2748,572035,845,25066502,45.2,45.5,42.6,43.1,2.7,43.1,4,43.2,10,359.17
2753,201433,293,28285097,141.0,142.5,139.0,139.5,2.5,139.0,3,139.5,1,16.55
2801,5969953,1476,105007610,17.6,17.7,17.5,17.6,0.05,17.55,242,17.6,50,20.0
2809,791634,522,27367630,34.5,34.7,34.5,34.55,0.05,34.5,14,34.55,12,11.96
2812,3375687,1856,44358666,13.25,13.3,13.05,13.05,0.15,13.05,447,13.1,95,11.97
2816,84510,55,1433393,17.0,17.0,16.9,16.9,0.1,16.9,14,17.0,14,8.94
2820,305321,221,4809657,15.7,15.85,15.6,15.8,0.1,15.75,6,15.8,21,12.06
2832,165296,103,3230944,19.5,19.7,19.5,19.55,0.0,19.55,4,19.6,1,15.16
2834,23388387,5940,278827536,11.95,12.0,11.85,11.9,0.1,11.9,573,11.95,1442,15.06
2836,954157,437,12474774,13.1,13.25,13.0,13.05,0.1,13.05,43,13.1,28,16.31
2836A,47150,14,1071085,22.75,22.9,22.7,22.9,0.0,22.7,5,22.9,2,0.0
2838,1321159,636,17148677,13.15,13.2,12.85,12.95,0.2,12.9,33,12.95,7,11.07
2838A,66029,27,3398990,51.5,51.5,51.4,51.5,0.1,51.4,94,51.5,25,0.0
2845,3378521,787,37999651,11.25,11.3,11.2,11.25,0.0,11.2,1484,11.25,66,14.06
2849,30907,39,444114,14.4,14.5,14.3,14.35,0.05,14.35,8,14.4,6,11.48
2850,143134,147,7396430,52.0,52.2,51.3,52.0,0.0,51.9,2,52.0,33,7.0
2851,548225,292,11506053,21.0,21.15,20.85,21.1,0.05,21.1,8,21.15,38,6.49
2852,156140,94,2268674,14.55,14.6,14.45,14.55,0.0,14.55,1,14.6,21,7.31
2855,738258,436,11422654,15.55,15.7,15.4,15.45,0.1,15.4,89,15.45,11,9.04
2867,3977299,1468,24739565,6.25,6.3,6.16,6.19,0.11,6.18,48,6.19,197,0.0
2880,11058762,3253,253890459,23.1,23.1,22.85,23.0,0.1,22.95,108,23.0,127,17.97
2881,17805976,7937,999695872,56.0,56.7,55.7,56.6,0.0,56.5,183,56.6,11,5.4
2881A,14000,7,855800,61.1,61.2,61.1,61.1,0.1,61.1,81,61.2,17,0.0
